videoId,author,comment,likeCount,publishedAt
M3ofIVGaqeo,@saipavandlover7332,"ALAGE POOJA LO UNNAPUDU MADI KATTUKONI KURCHUNTARU POOJA TIME LO WASHROOM VACHINA DANI THARVATA SNANAM CHESI POOJA CHESTARU ALANTIDI RAKTA SHRAVAM JERIGE THAPPUDU POOJA LO ELA KURCHUNTARU THAT MEANS IT IS NOT IMPURE AAA SAMAYAM LO VALLU MENTAL GA KUDA DISTURB GA UNTARU DENIKI ATTENTION IVVALERU KABATTI POOJA JERIGE THAPPUDU AA KRAMAM PATLA MANAM ATTENTION PATTISTE VACHE RESULT VERU KABATTI VALLU AAA SAMAYAM LO VALLAKI RESPECT ALA ICHARU BECAUSE IT IS THE CAUSE OF ONES BIRTH , OUR SANATAM IS ETERNITY KABATTI VEETINI ARDHAM KAKA POTHE AVAHELLANA CHEYAKUNDA ARTAM CHESUKOVADANIKI PRAYATNINCHANDI 🙏",9,2024-04-08T18:40:08Z
M3ofIVGaqeo,@srujankasturi5737,Dr gaaru right,3,2024-04-08T18:38:57Z
M3ofIVGaqeo,@vkproductions8829,"Pedda vallaki easy ga ardam avvadaniki, telugu captions pettaru kada....Great bro 👏👏....keep rocking!!",72,2024-04-08T18:35:59Z
M3ofIVGaqeo,@mksview999,Yetha parfect ga chepparu medam reason behind period restitution edhi thelika pechi pechi chetharu janalu,20,2024-04-08T17:53:06Z
M3ofIVGaqeo,@rst700,Orey yerri puvva...aa rojullo..sanitary pads levu raa ayyaa..andhuke oka chota undu mane varu....kani ....periods pain ani cramps ani entha edchinaa..leaves levu...except..you have some casual leaves...mari aaa rojullo..oka chota kurchoni rest teesukovadam chala better raa ayya,6,2024-04-08T17:35:02Z
M3ofIVGaqeo,@sriharivallabha,Periods ni physical gaa chuste em ledu anipistundi. Danni lo Cha adhyaymikata dagi undi...Adi ardham chesukovalante..Dharma vicharam cheste artham avuthundi...dayachesi Mee views kosam ituvanti vishyalanu vadukovaddu...innallu Mee views meeda good opinion undi....,49,2024-04-08T17:33:26Z
M3ofIVGaqeo,@rajivdhulipala6966,"Ma intlo kuda idhi undhi and frankly more than men , women in my house act too untouchable . Poraaptuna touch ayna pedda godava chesevallu. I never used to understand what is this custom all about even after studying menstrual cycle . But aa custom manchidhe to give rest to women during thay time . But making them untouchable even in today's society amd doing all this shall stop . I would like to stop this taboo with my mom's gen only . The essence of human life lies in menstrual cycle . Stop following these useless customs and care your women in u r house . Be it your mom or sister or wife or daughter .",7,2024-04-08T17:07:59Z
M3ofIVGaqeo,@bsbmmsriganesha8824,Correct cheppaaru medum👍🙏,4,2024-04-08T16:51:34Z
M3ofIVGaqeo,@advait_enthusiast,"Just because life exists because of period blood , it will not become pure 

You have to understand that apart from physical , we have subtle and casual body 

Our anscestors mentioned about subtle body being impure during those times

Water , also can become an impurity at times when something is packed dry ,moisture will spoil it 

Similarly even though life exists of menstruation  , it is still impure from spiritual point of view",25,2024-04-08T16:43:27Z
ATL2SN4XckI,@tummuri1972,🙏,0,2025-07-14T10:43:29Z
